Language,Query,Weight,Bucket,Comment,Expectation,Parsed,SearchQuality,Rank
he,פרשת השבוע,294.00,תנך,groups,https://archive.kbb1.com/he/programs/c/yGQYLsbV,c|yGQYLsbV|,Good,3
he,פרשת השבוע,294.00,תנך,groups,https://archive.kbb1.com/he/programs/c/4D87X3Oo,c|4D87X3Oo|,Good,2
he,בראשית,220.50,תנך,groups,https://archive.kbb1.com/he/sources/NslF3LJh,s|NslF3LJh|,Unknown,-1
he,בראשית,220.50,תנך,groups,https://archive.kbb1.com/he/lessons/cu/Kcbm97ny,cu|Kcbm97ny|,Unknown,-1
he,בראשית,220.50,תנך,groups,https://archive.kbb1.com/he/programs/cu/KgldULKU?language=he,cu|KgldULKU|,Unknown,-1
he,בראשית,220.50,תנך,groups,https://archive.kbb1.com/he/programs/cu/dO8qg4SK,cu|dO8qg4SK|,Unknown,-1
he,פרשת שבוע,294.00,תנך,groups,https://archive.kbb1.com/he/programs/c/FMekSMpp,c|FMekSMpp|,Good,1
he,פרשת שבוע,294.00,תנך,groups,https://archive.kbb1.com/he/programs/c/yGQYLsbV,c|yGQYLsbV|,Good,3
he,פרשת שבוע,294.00,תנך,groups,https://archive.kbb1.com/he/programs/c/4D87X3Oo,c|4D87X3Oo|,Good,2
he,ויצא,220.50,תנך,groups,https://archive.kbb1.com/he/sources/pCllz58I,s|pCllz58I|,Regular,5
he,ויצא,220.50,תנך,groups,https://archive.kbb1.com/he/lessons/cu/ZWV7sRUB,cu|ZWV7sRUB|,Unknown,-1
he,ויצא,220.50,תנך,groups,https://archive.kbb1.com/he/programs/cu/RPHaK0bQ,cu|RPHaK0bQ|,Unknown,-1
he,ויצא,220.50,תנך,groups,https://archive.kbb1.com/he/programs/cu/ZEG4FXf4,cu|ZEG4FXf4|,Unknown,-1
he,פרשת השבוע במדבר,220.50,תנך,groups,https://archive.kbb1.com/he/lessons/cu/Oy9AIPNu,cu|Oy9AIPNu|,Good,1
he,פרשת השבוע במדבר,220.50,תנך,groups,https://archive.kbb1.com/he/lessons/cu/Oy9AIPNu,cu|Oy9AIPNu|,Good,1
