Language,Query,Weight,Bucket,Comment,#1,#1 Parsed,#1 SQ,#1 Rank,#2,#2 Parsed,#2 SQ,#2 Rank,#3,#3 Parsed,#3 SQ,#3 Rank,#4,#4 Parsed,#4 SQ,#4 Rank,#5,#5 Parsed,#5 SQ,#5 Rank
he,חיים חדשים הריון,179,חיים חדשים + נושא,,group with topic and new life,bs||,NoExpectation,-1,https://archive.kbb1.com/he/programs/cu/Hxxmgpb0,cu|Hxxmgpb0|,Unknown,-1,https://archive.kbb1.com/he/programs/cu/Eumgl3Jo,cu|Eumgl3Jo|,Unknown,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,חיים חדשים קטעים נבחרים,179,חיים חדשים + נושא,groups,https://archive.kbb1.com/he/programs/c/G30TMsPn,c|G30TMsPn|,Good,1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,סביבה טובה,158,אתר,תוכנית + נושא,http://kabbalahgroup.info/internet/he/users/login,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,בלוג,158,אתר,בלוג הקלטות,http://laitman.co.il/,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,רדיו,158,אתר,הקלטות רדיו 103,http://icecast.kab.tv/radiozohar2014.mp3,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,הכנה לישיבת החברים,155,הכנות,,https://archive.kbb1.com/he/lessons/cu/Fs4Pajlx,cu|Fs4Pajlx|,Unknown,-1,Rabash social writings regarding Yeshivat Haverim,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,הכנה לשיעור,155,הכנות,,https://archive.kbb1.com/he/lessons/latest?language=he,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,הכנה לכנס רומניה,155,הכנות,,"group with lessons before the congress, with the preparations",bs||,NoExpectation,-1,https://archive.kbb1.com/he/lessons/cu/Cf8xzLNH,cu|Cf8xzLNH|,Good,1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,הכנה לשינה,155,הכנות,,Quotes of lessons with recommendations of Rav regarding this,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,הכנה לפסח,155,הכנות,,https://archive.kbb1.com/he/events/c/PWOJ9aPK?language=he,c|PWOJ9aPK|,Unknown,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,קבוצה צעירה,148,קבוצה מהכלי,,https://archive.kbb1.com/he/programs/cu/dhwDY32y?language=he,cu|dhwDY32y|,Good,1,Group young group lessons,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,מוסקבה,148,קבוצה מהכלי,,https://archive.kbb1.com/he/events?location=Russia%7CMoscow,bs||,NoExpectation,-1,Group lectures with moscow group,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,צרפת,148,קבוצה מהכלי,,https://archive.kbb1.com/he/events?location=France,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,חיפה,148,קבוצה מהכלי,,Groups all lectures of Rav in Haifa,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,פיטר,148,קבוצה מהכלי,,https://archive.kbb1.com/he/events?location=Russia%7CSaint%20Petersburg,bs||,NoExpectation,-1,Group lectures with Piter group,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,סדנה,126,סדנאות,,?,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,סדנא,126,סדנאות,,?,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,כללי הסדנה,126,סדנאות,,klip with workshop rules?,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,סדנת חיבור,126,סדנאות,,?,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,אסף אוחיון,119,מרצה-חבר,,Group all the programs where he is host,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
